SrcDatabase-来源数据库	Title-篇名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	PubTime-发表时间	Year-年	Period-期	URL-网址	DOI-DOI
外文会议	The Exploration of the New Mode of Medical Consortium under the Development of Modern Internet Technology	Liangqiu Xu;Siqi Lv;Junhao Liu;Yanzhe Liu;Ying LI		"2020 3rd International Conference on Computer Science, Electronics and Engineering Management"	Medical consortium;Telemedicine;Block chain;Regional medical information integration	"The government work report for 2020 clearly points out that China needs to develop “Internet plus medical health”. However, the current medical consortium is facing a series of problems: high operating costs due to internal geographical isolation, and low efficiency of medical data management and sharing. Under the current Internet technology conditions, these problems can be solved by using telemedicine technology to break geographical isolation and thus reduce operating costs. Blockchain can also be used to realize low-cost and safe storage and sharing of medical data. This paper aims to analyze the development pain points and causes of medical consortium in China, and reshape the new model of medical consortium by virtue of the advantages of telemedicine and blockchain which are subversive to the medical industry."	2020-12-01	2020			
外文期刊	Study on the Willingness of Hospital J to Participate in Station-based Assistance in Medical Alliance	Cancheng Zhang;; Mengying Deng		World Journal of Public Health	Medical Alliance;;Core Hospitals;;Station-based Assistance;;Willingness of Collaboration	"Medical assistance is an important way to address the uneven distribution of medical resources and promote health equity. The medical alliance is the practice of medical administrative authorities and hospitals to explore the development of medical assistance, but at present there are difficulties in this cooperation. In this study, we analyze the practice of Hospital J in helping member hospitals in the construction of a medical alliance, and the key influencing factors of cooperation at three levels: hospital leaders, department heads and general practitioners. We propose a research design, focusing on how to enhance the level of willingness of core hospitals to participate in the cooperation of station-based support, which is useful for enhancing the leading role of core hospitals, promoting the steady development and achieving the policy objectives of the medical alliance."	2020-05-28	2020	2		
外文期刊	Doctor’s Preference in Providing Medical Service for Patients in the Medical Alliance: A Pilot Discrete Choice Experiment	Richard Huan Xu;;Lingming Zhou;;Yong Li;;Dong Wang	"Jockey Club School of public health and primary care, the Chinese University of Hong Kong, Hong Kong, China; richardhxu@cuhk.edu.hk ;;School of Health Management, Southern Medical University, Guangzhou 510515, China; peterlm_87@hotmail.com (L.Z.); yongli1995@126.com (Y.L.)"	International Journal of Environmental Research and Public Health	Medical alliance;;Healthcare;;Doctor preference	"This cross-sectional survey study explored whether doctors in Guangdong, China preferred to provide extra healthcare services within the context of their medical alliances (MAs). Specifically, a discrete choice experiment (DCE) was conducted to investigate whether doctors preferred to provide extra services at low-tier hospitals within their MAs. A literature review, focus group interview, and expert group discussion resulted in three main attributes (i.e., working time, income, and hospital location) and corresponding levels, which were combined to create 24 profiles that were randomly presented to participants. A conditional logit model was then employed to calculate utility scores for all profiles. A total of 311 doctors completed the DCE questionnaire. The coefficients for each level within the three attributes were ordered and found to be statistically significant. Working time had the greatest influence on utility scores, increasing by one hour per week (beta = 1.4, odds ratio (OR) = 4.07, p < 0.001), followed by income, which increased by 30% per month (beta = 1.19, OR = 3.3, p < 0.001). The utility scores for all profiles ranged between ?0.27 and 3.07. Findings indicated that participants made trade-offs with respect to providing extra services within their MAs. Furthermore, utility varied between different subpopulations."	2020-03-26	2020	7		
外文期刊	Design and Preliminary Experience of a Tele-Radiotherapy System for a Medical Alliance in China.	Zou Lian;;Chen Xin;;Xu Chuan;;Xing Lei;;Xie Yaoqin	"Institute of Biomedical and Health Engineering, Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China.;;Institute of Biomedical and Health Engineering, Shenzhen College of Advanced Technology, University of Chinese Academy of Sciences, Shenzhen, China.;;Department of Radiation Oncology, Cancer Center, Sichuan Academy of Medical Sciences, Sichuan Provincial People's Hospital, University of Electronic Science and Technology of China, Chengdu, China.;;Department of Laboratory Medicine, The Third People's Hospital of Chengdu/Affiliated Hospital of Southwest Jiaotong University, Chengdu, Sichuan, China.;;Department of Radiation Oncology, Cancer Center, Sichuan Academy of Medical Sciences, Sichuan Provincial People's Hospital, University of Electronic Science and Technology of China, Chengdu, China.;;Department of Radiation Oncology, Stanford University, Palo Alto, California.;;Institute of Biomedical and Health Engineering, Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China.;;Department of Radiation Oncology, Cancer Center, Sichuan Academy of Medical Sciences, Sichuan Provincial People's Hospital, University of Electronic Science and Technology of China, Chengdu, China."	Telemedicine journal and e-health : the official journal of the American Telemedicine Association	Cancer;;Medical alliance;;Radiotherapy;;Tele-radiotherapy;;Telehealth;;Telemedicine	"Background: The medical alliance and telemedicine are considered to be important means to solve the imbalance between regions and shortage of professionals and promote the homogenization of medical services. Sichuan Provincial People's Hospital Group (SPPHG) is a network of hospitals with different levels of expertise, and all the members with radiotherapy form a radiotherapy network (RTN). Addressing the inadequacy and imbalance of radiotherapy services of Sichuan Province, China, a tele-radiotherapy system for RTN-SPPHG is designed, which includes the business model and corresponding technical implementation of an information system. Materials and Methods: In the RTN-SPPHG, a distributed remote collaboration business model is explored and a tele-radiotherapy information system is customized for this telemedicine model. Both the business model and tailored information system were evaluated in actual use. Results: Based on the tele-radiotherapy system of RTN-SPPHG, multitype hospitals are linked together and serve as a whole. Through the internet, the experience of experts of Sichuan Provincial People's Hospital is effectively deployed to member hospitals at the grassroot level. Conclusions: A close-knit medical alliance based on a tele-radiotherapy system should be a way to rapidly improve radiotherapy services and promote the homogenization of service in a region."	2020-02-22	2020	2		
外文期刊	[Current Situation and Strategy of Day Surgery in Patients with Lung Cancer by Enhanced Recovery after Surgery].	Che Guowei	"Department of Thoracic Surgery, West China Hospital, Sichuan University, Chengdu 610041, China."	Zhongguo fei ai za zhi = Chinese journal of lung cancer	Day surgery;;Enhanced recovery after surgery;;Graded diagnosis and treatment;;Lung neoplasms	"It is time to review the current clinical treatment concepts and operational procedures that the changes of enhanced recovery after surgery (ERAS) theory, surgical instruments and disease treatment types. It is support of theoretical and technical of ERAS concept from rise to perfection for day surgery with complex but low risk operation. Combined with the recent clinical practice at home and abroad, this study review the problems and measures of day surgery in patients with lung cancer. First, the necessity and feasibility of patients with lung cancer undergoing day surgery instead of inpatient surgery. Second, establishment of day surgery team and platform in lung cancer surgery. Third, operational procedures and perioperative management of day surgery need to be optimized. Fourth, the ""graded diagnosis and treatment-day surgery"" model was used to ensure patient safety. Fifth, Clinical application prospect of ambulatory surgery for lung cancer.(#br)【中文题目：加速康复外科：肺癌手术日间化现状与策略】 【中文摘要：加速康复外科（enhanced recovery after surgery, ERAS）理论、手术器械和治疗病种的变化，均需要重新审视现在的临床治疗观念和操作流程。ERAS理念从兴起到完善，为复杂却风险低的手术日间化提供了理论和技术支持。结合最近的国内外临床实践，以肺癌为例，分析肺癌手术日间化面临的问题与应对策略。从以下几方面论述：一是肺癌患者由住院手术转为日间手术（ambulatory surgery day surgery）的必要性与可行性；二是肺癌手术日间化的团队及平台建设；三是肺癌日间手术操作流程及围手术期管理需要优化；四是利用“分级诊疗-日间手术”模式保障患者安全；五是肺癌日间手术临床应用前景。】 【中文关键词：加速康复外科；日间手术；分级诊疗；肺肿瘤】."	2020-01-20	2020	1		
外文期刊	The Willingness for Downward Referral and Its Influencing Factors: A Cross-Sectional Study among Older Adults in Shandong; China	Xiang Jing;;Lingzhong Xu;;Wenzhe Qin;;Jiao Zhang;;Lu Lu;;Yali Wang;;Yu Xia;;An’an Jiao;;Yaozu Li	"School of Public Health, Shandong University, Jinan 250012, China; 13209897715@163.com (X.J.); qinwenzhe09@163.com (W.Q.); 201614324@mail.sdu.edu.cn (J.Z.); lulu20170320@163.com (L.L.); wyl_0719@163.com (Y.W.); xy978742748@foxmail.com (Y.X.); jiaoanan0328@163.com (A.J.); liyaozu1211@163.com (Y.L.);;NHC Key Laboratory of Health Economics and Policy Research, Shandong University, Jinan 250012, China;;Shandong University Center for Health Economics Experiment and Public Policy Research, Jinan 250012, China"	International Journal of Environmental Research and Public Health	Hierarchical medical system;;Downward referral;;Essential medicines;;China	"Objectives: The aim of this study was to understand the willingness for downward referral among older adults who were hospitalized in the year before the survey and to explore its influencing factors. Methods: The sample was randomly selected by the multi-stage sampling method. A structural questionnaire was used to collect data from participants age 60 and above in Shandong, China, during August 2017. Data were analyzed by using descriptive statistics, one-way ANOVA, chi-square test, and multinomial logistic regression. Results: Of 1198 participants who were hospitalized in the year before the survey, 28.7% self-initiated downward referral, and 33.9% were willing to accept downward referral after a doctor’s advice. Multinomial logistic regression results showed that self-rated health, treatment effect in primary medical institutions, preference for outpatient service, choice of inpatient service, general understanding of essential medicines, the cost of essential medicines after zero-markup policy, and satisfaction with essential medicines’ reimbursement policy significantly correlated with older adults’ willingness for downward referral. Conclusions: The proportion of older adults who self-initiated downward referral was less than one-third. Doctors’ advice plays an important role in willingness for downward referral. More attention should be paid to improving the treatment effect of primary medical institutions, increasing the benefits of zero-markup policy, and ensuring a high reimbursement for the downward referral to work alongside doctors’ advice."	2020-01-06	2020	1		
外文期刊	Analysis of the Impact of China’s Hierarchical Medical System and Online Appointment Diagnosis System on the Sustainable Development of Public Health: A Case Study of Shanghai	Xiaojuan Shen;Weixin Yang;Shaorong Sun		Sustainability	public health;sustainable development;hierarchical medical system;cellular automata;policy simulation	"In the study of the sustainable development of public health in China, academic circles have little to do with the unique hierarchical medical system and online appointment diagnosis system in China’s medical system. Therefore, based on the medical situation in Shanghai, China, in addition to the traditional dimension of medical expenses, this paper fully considers the impact of the current hierarchical medical policy, constructs a selection model for medical treatment behavior under the hierarchical medical system and online appointment diagnosis system, and carries out simulation analysis through the cellular automata grid dynamic model. This paper finds that the time-cost-oriented medical treatment behavior of Chinese patients will have different distribution under the current hierarchical medical system and online appointment diagnosis system. (1) When the medical treatment system neither allows online appointment nor referral, a large number of patients congregated in high-grade hospitals, with the most unreasonable distribution. (2) With the implementation of the system of allowing referral and online appointment, patients are gradually diverted to lower-grade hospitals or off-peak hours, and the distribution is relatively improved. (3) If the medical treatment system allows both referral and online appointment, the distribution of patients is the most reasonable. Therefore, China’s current hierarchical medical system and online appointment diagnosis system will, to a considerable extent, become a policy tool that affects patients’ choice of hospitals and an effective means to achieve the rational allocation of existing medical resources, which will play an important role in the sustainable development of public health in China."	2019-11-21	2019	23		
外文期刊	Spatial Inequity of Multi-Level Healthcare Services in a Rapid Expanding Immigrant City of China: A Case Study of Shenzhen	Wei Hu;;Lin Li;;Mo Su	"School of Resource and Environment Science, Wuhan University, 129 Luoyu Rd., Wuhan 430079, China; huwei_whu@whu.edu.cn (W.H.); mynameisyo@163.com (M.S.)"	International Journal of Environmental Research and Public Health	Healthcare services;;Inequity;;Accessibility;;Hierarchical medical system;;Shenzhen city	"Since the onset of reform and opening up in China, large cities in the nation have been experiencing problems related to limited medical resources. These resource limitations are due to rapid population growth and urban expansion. As the country’s fastest growing city, Shenzhen has experienced a substantial misalignment between the supply and the demand of healthcare services. Numerous researchers have analyzed spatial inequity in healthcare services by focusing on the spatial accessibility of medical facilities, such as hospitals, clinics, and community health service centers (CHSCs). However, the issue of inequity in healthcare services for vulnerable groups has largely been ignored. We chose general hospitals (GHs) and CHSCs, which provide direct healthcare services to residents, as the study objects. By performing spatial accessibility analysis using the gravity model and the two-step floating catchment area method, we investigated healthcare services inequity for vulnerable groups based on four dimensions: residential type, age, education level, and occupation. We found that the services provided by GHs cannot meet the demand in Shenzhen. This inadequacy is characterized by spatial centralization and neglect of those who reside in urban villages, who have low education levels, and who are employed in the manufacturing industry. In contrast, CHSCs generally serve a relatively broad population. This phenomenon is related to differences in the land and capital needs between GHs and CHSCs. Our study reveals that an appropriate adjustment of GH location could significantly improve healthcare services inequity. Therefore, to alleviate this inequity, it is particularly necessary to increase the number of GHs in the peripheral circle and in areas with large vulnerable populations, accelerate the implementation of the hierarchical medical system, and promote the transfer of medical resources to grassroot institutes through CHSCs. This study helps improve our understanding of healthcare services inequity in rapid expanding cities, which is of substantial significance for improving the planning and construction of medical facilities, facilitating scientific decision-making, and promoting social equity."	2019-09-17	2019	18		
外文期刊	Healthcare-seeking behavior among pregnant women in the Chinese hierarchical medical system: a cross-sectional study.	Liu Guihao;;Xue Yunlian;;Qian Zhenzhu;;Yang Liuna;;Yang Yunbin;;Geng Qingshan;;Wang Xin	"Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, 106 Zhongshan II Yuexiu District, Guangzhou, Guangdong, China.;;Southern Medical University, 1023-1063 Shatai south road, Guangzhou, Guangdong, China.;;Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, 106 Zhongshan II Yuexiu District, Guangzhou, Guangdong, China.;;Guangdong Medical University, Songshan lake science and technology industrial park, Dongguan, Guangdong, China.;;Guangdong Medical University, Songshan lake science and technology industrial park, Dongguan, Guangdong, China.;;Southern Medical University, 1023-1063 Shatai south road, Guangzhou, Guangdong, China. yyb08@126.com.;;Guangdong Medical University, Songshan lake science and technology industrial park, Dongguan, Guangdong, China. yyb08@126.com.;;Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, 106 Zhongshan II Yuexiu District, Guangzhou, Guangdong, China. gengqingshan@gdph.org.cn.;;College of Humanities and Social Sciences, China Medical University, 77 Puhe Road, Shenbei New District, Shenyang, Liaoning, China. wxinsmile@qq.com."	International journal for equity in health	Antenatal care;;Demographic factors;;Environmental factors;;Hierarchical medical system;;Pregnant women	"BACKGROUND(#br)Hierarchical medical systems are common in developed countries, but it's not optimistic in China. This study aimed to identify the factors affecting healthcare-seeking behavior among pregnant women in Guangdong, China.(#br)METHODS(#br)We conducted a cross-sectional, observational survey, developed using the Andersen's behavioral model. Pregnant women were randomly selected using a two-stage, stratified, random sampling method from hospitals in Guangdong, China. A multinomial logistic regression was used to identify statistically significant variables from aspect of environmental, demographic and pregnancy characteristics associated with pregnant women seeking healthcare at primary, secondary or tertiary hospitals.(#br)RESULTS(#br)A total of 1393 pregnant women returned the survey after attending 1 of 12 hospitals within 4 cities of the Guangdong province: 537 (38.5%) of the respondents attended a primary hospital, 437 (31.4%) a secondary hospital, and 419 (30.1%) a tertiary hospital. Women attending primary hospitals were more likely to live closer to the hospital, live rurally, and be educated to a lower level. Several factors were significantly associated with attendance at a secondary vs a primary hospital: the woman's perceived necessity to seek maternal healthcare (OR 1.73, 95% CI [1.1,2.74]), the woman's choice of delivery hospital (OR 1.45, 95% CI [1.01,2.07]), or urban living (OR 1.39, 95% CI [1.03,1.88]). Characteristics associated with attendance at a tertiary vs a primary hospital were: a history of pregnancy complications (OR 2.35, 95% CI [1.43,3.86]), travel to the hospital by public transport/taxi (OR 2.09/2.67, 95% CI [1.35,3.22]/ [1.45,4.92]), urban living (OR 1.58, 95% CI [1.14,2.18]), or a planned current pregnancy (OR 1.53, 95% CI [1.07,2.19]).(#br)CONCLUSION(#br)Medical needs and convenience both play a role in the choice of hospital for antenatal care, and impact on equity utilization of health services. Pregnant women without risk factors and with higher levels of education should be a target population for guiding to choose a more proper level of hospital."	2019-08-19	2019	1		
外文期刊	Resource allocation for chronic diseases based on a patient willingness survey.	Bai Ge;;Zhou Yinan;;Luo Li;;Wang Zhaoxin	"School of Public Health, Fudan University, Shanghai, China.;;School of Public Health, Fudan University, Shanghai, China.;;School of Public Health, Fudan University, Shanghai, China.;;School of Public Health, Shanghai Jiao Tong University School of Medicine, Shanghai, China."	The International journal of health planning and management	Chronic disease;;Hierarchical medical system;;Medical resource;;Referral system;;Resource allocation efficiency	"In China, patients with chronic diseases have complete freedom to choose the medical institutions at which they are treated, which has resulted in wasted medical resources and increased medical expenses. The purpose of this study is to determine the effective mechanisms to incentivise patients with chronic diseases to obtain referrals from community health centres to tertiary hospitals and estimate the funds that could be saved using various mechanisms. Questionnaire research, expert consultations, and data simulation were applied. We surveyed 1824 outpatients at nine tertiary hospitals in Shanghai, and the results showed that the proportion of patients willing to obtain referrals was 48.4%. By increasing the registration fee, reducing the payment ratio of medical insurance, publicising, and rating the quality of community health centres, up to 51.3%, 50.6%, and 65.41% patients with chronic diseases indicated that they would obtain referrals, respectively. According to the 2015 Shanghai outpatient database, the funding that could be saved through these three mechanisms would be 361.67, 356.73, and 461.14 million yuan, respectively. We conclude that referral of patients with chronic diseases could reduce medical expenses and save medical insurance funds. Nevertheless, no single measure can effectively change patient habits. Comprehensive measures need to be applied to guide patient referral actively."	2019-07-22	2019	3		
