SrcDatabase-来源库	Title-题名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	PubTime-发表时间	FirstDuty-第一责任人	Fund-基金	Year-年	Volume-卷	Period-期	PageCount-页码	CLC-中图分类号	URL-网址	DOI-DOI
CJFD2017	基于资源与产能关系的医疗机构层级间的非良性互动机理分析	吴悦;刘爽;张亮;	华中科技大学同济医学院医药卫生管理学院;	中国卫生经济	卫生资源;;医疗机构;;卫生服务供给;;分级诊疗	"在卫生服务领域和经济学中资源与产能相对应的是卫生资源与卫生服务供给能力,卫生资源与卫生服务供给能力及其相互关系是不同级别医疗机构间分工协作与良性互动的重要因素。然而医疗机构卫生资源的倒置与卫生服务供给能力的错位,在居民自由择医理念的影响下,加重了病源在三级医疗机构的集聚程度,医疗机构层级间的非良性互动与相互竞争成为分级诊疗政策推行的重要障碍,因此亟需厘清其机理并提出针对性的政策建议。"	2017-03-05	吴悦;	国家自然科学基金项目(71273099)	2017	36	03	66-69	R197.1		
CJFD2017	医改再向前 政协委员如何看	刘也良;	中国卫生	中国卫生	医疗卫生;医联体;分级诊疗;政协委员;	"近日,全国政协委员医改调研座谈会在湖北省武汉市举办,来自全国各地的政协委员为医改下一步推进建言献策。总结评估不能少全国政协常委、湖北省工商联原主席赵晓勇:我国医改已经进入深水区,目前是时候静下心来,对医改这些年采取了哪些举措、取得了哪些成绩、存在哪些问题进行系统的梳理。北京市卫生计生委主任方来英:对医改的系统性总结,要进行跨部门梳理,定期回想一下最早开展医改的初心,尤其要对成绩进行肯定。比如,北"	2017-03-05	刘也良;		2017		03	41-45	R197.1		10.15973/j.cnki.cn11-3708/d.2017.03.013
CJFD2017	改善医疗服务:新方向已明确	金仲夏;	中国卫生	中国卫生	预约诊疗;三级医院;日间医疗服务;和谐医患关系;分级诊疗;临床路径管理;医疗卫生服务;	"今年2月8日召开的国家卫生计生委例行新闻发布会上,国家卫生计生委医政医管局副局长焦雅辉介绍了""进一步改善医疗服务行动计划""开展两年来所取得的五方面成果,并公布了2017年全国改善医疗服务工作的11个工作重点。在2017年,国家卫生计生委一方面希望将切实有效的举措向固定的制度转化;另一方面,针对群众反映的"	2017-03-05	金仲夏;		2017		03	74-76	R197.1		10.15973/j.cnki.cn11-3708/d.2017.03.027
CJFD2017	分级诊疗 宜昌经验有特色	刘也良;	中国卫生	中国卫生	分级诊疗;协作平台;基层医疗卫生机构;宜昌市;	"在湖北省宜昌市,居民足不出户就可以享受到送上门的医疗服务,需要转诊的患者,在10分钟内就可以完成所有申请和手续,一张""市民卡""就可以享受全免费的体检……宜昌正以互联网信息技术破解分级诊疗难题。近日,国家卫生计生委组织相关领导、专家前"	2017-03-05	刘也良;		2017		03	82-83	R197.1		10.15973/j.cnki.cn11-3708/d.2017.03.030
CJFD2017	湖北枝江:“指尖上”的医疗服务	李权林;刘成名;	中国卫生	中国卫生	医疗服务;医联体;枝江市;分级诊疗;基层医疗卫生机构;家庭医生签约服务;	"湖北省枝江市利用""互联网+分级诊疗""平台、家庭医生签约服务和构建医疗联合体,实现强基层和医疗卫生资源的上下联动,使全市30多万人享受基本医疗卫生服务,解决群众看病难、看病贵问题。枝江市利用""互联网+""把医院服务搬到""指尖上""。2016年阿里健康入驻枝江,建立了""互联网+分级诊疗""平"	2017-03-05	李权林;		2017		03	108-109	R197.1		10.15973/j.cnki.cn11-3708/d.2017.03.040
CJFD2017	新医改背景下如何控制医疗费用不合理增长	李文;孙媛;张少伟;	山东省济南市第三人民医院财务科;	中国卫生产业	医疗费用;;绩效管理;;成本控制;;补偿机制;;分级诊疗	"控制医疗费用不合理增长是深化医改的重要目标和任务,为广大人民群众提供安全、有效、方便、价廉的医疗服务是新医改的最终目标。通过总量控制、结构调整、规范医疗、改革医药、分级诊疗等综合措施的实施,多措并举有效控制医疗费用不合理增长,是实现医改目标的关键所在。"	2017-03-05	李文;		2017	14	07	82-84	R197.1		10.16659/j.cnki.1672-5654.2017.07.082
CJFD2017	适应分级诊疗形势 开展人本位的医疗护理服务	李冰;	护理实践与研究	护理实践与研究	人本位;医疗服务;医疗护理服务;分级诊疗;	"随着我国居民对医疗服务需求的不断提高,对医疗服务质量要求也越来越高,更多患者趋向选择三级医院~([1])。而分级诊疗政策正是缓解大医院拥堵、基层医院冷清局面的有效举措,也因此各类医院要分别承担大病与疑难病、常见病与多发病的不同职能。开放的医疗市场使得社会资本及国际资本大量进入医疗健康领域,预示着健康医疗服务领域竞争更加"	2017-03-05	李冰;		2017	14	05	17-18	R47		
ZHYX2017	当今互联网医疗领域的机遇与挑战	王晨;	首都医科大学附属北京天坛医院;	中华医院管理杂志	互联网医疗;分级诊疗;医院内部管理;机遇与挑战;	"信息技术革命的浪潮汹涌澎湃,以""互联网+""为代表的先进技术,在各个领域不断发力,""大数据""""云计算""""深度学习""""人工智能""等热词层出不穷,不断刷新的人机大战记录也颠覆着人类对计算机的认知,互联网技术正在快速而深刻地改变着现实世界。而医疗与大健康领域的信息技术应用,也正在深刻地影响着人们的思维与行为模式。随着""万众创新""""大众创业""""互联网+医疗""的宏观政策引导,由技术驱动先导和资本运作催化并行的机制,以及互联网医疗的新业态已经初步形成。但由于医疗与健康领域长期存在着供需资源分布不均、基层医疗机构"	2017-03-02	王晨;		2017	33	03	163-164	R-05		
CJFD2017	提高基层医院神经外科医生临床能力解决方案的探讨	万伟庆;姜悦;乔春友;	首都医科大学附属北京天坛医院神经外科;首都医科大学附属北京天坛医院医务处;张家口市第一医院;	中国医学装备	神经外科;;基层医院;;基层医生;;临床能力;;分级诊疗;;微创神经外科	"目的:探讨加强基层医院神经外科专业技术能力与人文素养的解决方案,提高基层医院神经外科临床水平。方法:综合分析文献检索以及在张家口市第一医院工作实践中所收集信息,提取基层医院神经外科医生临床能力培养方面存在的问题,根据开展分级诊疗的要求,探索提高基层医院神经外科医生临床能力的基本路径,并通过建立临床规范和制度保障医疗质量。结果:从万方数据库检索到2006-2015年间我国期刊关于提高基层医院医生能力的研究报道819篇,文献计量分析表明呈逐年增加趋势,2015年发文数量是2006年的5.21倍,其中涉及神经外科领域有28篇,占论文总数的3.42%。研究热点反映在基层医院进修医生的培养模式、帮助基层医院掌握微创神经外科技术以及现代神经外科技术理论与知识的推广等。结论:提高基层医院医生能力,应结合分级诊疗、基层医院神经外科疾病谱的特点以及基层医院神经外科医生的现状,从制定适宜的培训方案、建立相应的临床规范、推广必要的神经外科技术三方面入手,以保障分级诊疗落到实处。"	2017-03-01 14:13	万伟庆;		2017	14	02	115-118	R192	https://kns.cnki.net/kcms/detail/11.5211.TH.20170301.1413.070.html	
CJFD2017	北京市医院管理局2017年多项举措方便患者就医	陈广晶;	首都食品与医药	首都食品与医药	医院管理局;多渠道;预约挂号;市属医院;医联体;医生工作站;优质医疗资源;分级诊疗;北京市;	"为解决""挂号难""问题,北京市医院管理局推出了多渠道挂号模式。2016年,累计有443万人次通过手机或自助机挂到北京市属医院的号,22家北京市属医院全部实现多渠道预约挂号模式。2017年,北京市属医院将进一步加快""互联网+医疗""探索步伐,年内将实现医疗费用在医生工作站和自助机端的支付,从而大幅缩减患者缴费排队时间,此外,设立便民服务专项奖励资金、拓宽远程医疗服务等措施,也同样令人期待。"	2017-03-01	陈广晶;		2017	24	05	34	R197.1		
