SrcDatabase-来源库	Title-题名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	PubTime-发表时间	FirstDuty-第一责任人	Fund-基金	Year-年	Volume-卷	Period-期	PageCount-页码	CLC-中图分类号	URL-网址	DOI-DOI
CAPJ2023	县域医共体建设典型地区乡镇卫生院效率变动分析	孟业清;李思思;秦江梅;林春梅;张艳春;张丽芳;	石河子大学医学院;北京市第六医院;国家卫生健康委卫生发展研究中心;	中国全科医学	县域医共体;;乡镇卫生院;;全要素生产效率;;Malmquist指数法	背景县域医共体通过各种“强基层”措施助力基层医疗服务能力和质量提升，并推动基层医疗卫生机构运行效率提升。目的 分析国家县域医共体建设试点典型地区乡镇卫生院工作效率和全要素生产效率变动情况。方法 收集中西部地区4个省份（安徽省、江西省、广西壮族自治区、新疆维吾尔自治区）8个县（市）143个乡镇卫生院2018—2019年县域医共体监测数据和卫生健康统计年报数据，采用数据包络分析（DEA）Malmquist指数法分析试点前后乡镇卫生院全要素生产率变动情况。结果 以县为决策单元，与2018相比，2019年典型地区乡镇卫生院技术效率、技术进步、纯技术效率、规模效率和全要素生产率指数分别为0.977、1.037、0.995、0.982和1.013，乡镇卫生院全要素生产效率平均提高了1.3%。以乡镇卫生院为决策单元，与2018年相比，2019年典型地区乡镇卫生院全要素生产率提高了4.50%，安徽省A1县、安徽省A2县、江西省B1市、江西省B2县、广西壮族自治区C1县、广西壮族自治区C2县、新疆维吾尔自治区D1县和新疆维吾尔自治区D2县分别有47.83%、72.23%、58.06%、59.26%、80.00%、72.73%、85.71%和66.67%的乡镇卫生院全要素生产率提升。结论 县域医共体改革“强基层”措施对乡镇卫生院效率提升有推动作用，持续提升乡镇卫生院效率不仅需要牵头医院提供有针对性的帮扶，更需要调动乡镇卫生院内部生动力和积极性。	2023-01-31 14:37	孟业清					7	R197.62	https://kns.cnki.net/kcms/detail/13.1222.R.20230130.1628.016.html	
CJFDTEMP	北京协和医院新型冠状病毒感染基层诊疗建议(2023)	北京协和医院新型冠状病毒感染基层诊疗建议多学科专家组;	协和医学杂志	协和医学杂志	新型冠状病毒感染;;分级诊疗;;循证医学;;慢病管理;;老年人	"随着疫情防控政策的科学调整，越来越多的临床医生尤其基层医生已面临接诊新型冠状病毒感染患者的情形。北京协和医院秉承“以人为本、全人照顾”的理念，依据世界卫生组织等国际指南、国家卫生健康委员会最新发布的《新型冠状病毒感染诊疗方案(试行第十版)》及《关于对新型冠状病毒感染实施“乙类乙管”总体方案》,坚持循证、简明、临床可操作的原则，编写了《北京协和医院新型冠状病毒感染基层诊疗建议(2023)》。对于目前尚缺乏循证医学证据的关键临床问题，结合北京协和医院一线工作经验及多学科专家意见，给出了相应诊疗建议。本诊疗建议强调在社区筛查重症高危人群，并尽早予以药物以及加强营养、心理治疗、睡眠支持等非药物干预，构筑家庭、社区、医院三道防线，以期实现“保健康、防重症”的总体目标。"	2023-01-30	北京协和医院新型冠状病毒感染基层诊疗建议多学科专家组;		2023	14	01	60-74	R511		
CJFDTEMP	康复医联体建设实践与启示	卢瑶;张淑燕;王强;密忠祥;	中国康复研究中心北京博爱医院医务处;中国康复研究中心北京博爱医院;首都医科大学康复医学院;	中国医药导报	康复医疗服务体系;;医联体;;分级诊疗;;医教结合	我国康复医疗起步较晚，存在资源总量不足、专业人才匮乏等诸多问题，亟须加强康复医疗服务体系建设，创新康复服务模式。本文以“中康医联体”这一康复专科医联体建设的具体实践为研究对象，通过对其基本情况、运行机制、工作开展情况、所获得的初步成果及不足进行充分梳理和讨论，结合对医联体建设政策背景及建设康复医联体时代意义的详细阐述，论证了在现有条件下，以建立康复医联体为抓手，通过构建分级诊疗格局，实现优质康复医疗资源的上下贯通，从而提升基层康复医疗机构服务能力，为患者提供更好的康复医疗服务。	2023-01-25	卢瑶;	国家社会科学基金项目（19BRK007）	2023	20	03	176-179	R197.1		10.20047/j.issn1673-7210.2023.03.41
CAPJ2023	重庆市松散型医联体服务能力分析	张立斌;马弗愚;田杰;何于一;何永宏;陈波;罗勇;吕富荣;	重庆医科大学附属第一医院党委办公室;重庆医科大学附属第一医院图书馆;重庆市卫生健康委员会办会室;重庆医科大学附属第一医院病案统计科;重庆市急救中心绩效办公室;重庆医科大学附属第一医院院长办公室;	重庆医学	松散型医联体;;服务能力;;双向转诊;;分级诊疗;;医疗服务体系	收集重庆4个具有代表性的松散型医联体、牵头医院及成员单位资料，对其加入医联体前后的门诊人次、出院人次、住院手术例数、床位使用率、平均住院日、危重症患者比例指标进行评价，结果发现牵头医院和成员单位的服务能力在加入医联体后均有不同程度提升。松散型医联体模式助推了基层医疗机构服务能力提升和发展，同时也促进了牵头医院的服务能力提升。	2023-01-18 10:19	张立斌	重庆市渝中区软科学研究项目（20150203）				7	R197.1	https://kns.cnki.net/kcms/detail/50.1097.R.20230117.1035.002.html	
CJFDTEMP	总额预付制下县域医共体激励约束机制分析：个人利益与集体利益的冲突	李力;郑英;	中国医学科学院医学信息研究所/卫生政策与管理研究中心;中国社会科学院大学社会与民族学院;	公共管理与政策评论	县域医共体;;总额预付制;;激励约束机制;;利益冲突	县域医共体是我国探索构建协同整合医疗卫生服务体系的重要实践形式之一，总额预付制是调和医共体内部利益矛盾、解决集体行动困境的核心政策工具。本研究提出县域医共体激励约束机制的分析框架及其理想化属性，并结合县域医共体典型案例，探讨县域医共体内部个人利益与集体利益冲突的原因，如具有较强信息优势与控制力的行动者在政策制定过程中发挥作用相对较弱，医共体内部信息对称性、博弈的公平性有待提升，同时现实中的医保结余对集体行动激励作用较弱，医保支付价、薪酬等配套政策工具对于引导个体行为与集体目标相一致的作用也相对有限等。建议进一步完善多元主体参与的良性协商与沟通机制，推动医务人员等具有较强信息优势与控制力的行动主体参与医保资金使用的决策过程；促进医疗医保医药协同发展与治理，建立以协商与准入为核心的医保支付价形成机制；基于公开、平等的谈判与协商机制，建立更加科学的预付总额核定机制与风险分担机制；建立信息披露机制与“村医”守门人制度等。	2023-01-17	李力;	国家卫生健康委员会体制改革司委托项目《开展县级公立医院综合改革示范工作跟踪评估》;; 中国医学科学院医学与健康科技创新工程经费资助项目《医学科技创新评价与卫生服务体系构建研究》(CIFMS 2016-I2M-3-018)	2023	12	01	140-155	R197.1		
CJFDTEMP	府院合作背景下领办型紧密医联体学科+运营融合发展实践	张铭;徐茂莉;李梅;陶宇;孔维;陈戈军;万婷;武逸;王一平;	四川大学华西医院运营管理部;资阳市第一人民医院战略运营部;	华西医学	府院合作;;医疗联合体;;运营管理;;学科建设	在国家系列政策背景下，近年来多种形式的医疗联合体（以下简称“医联体”）纷纷成立。医联体的目的在于促进医疗服务的协调整合与医疗资源的合理分布，但实施效果差异大，建设过程中存在上下协调运作不同步，资源整合不到位，信息标准乃至文化理念等差异和冲突的问题，在一定程度上限制了医联体的建设成效。为了解决这些问题，探索出医联体建设的更优路径，该文对府院合作下领办型医联体的“学科+运营”融合发展建设举措进行了总结分析，期望通过总结分析，从一定程度上为医联体建设提供经验借鉴，从而有助于医联体建设的更好发展。	2023-01-13 14:22	张铭;		2023	38	01	86-90	R197.1	https://kns.cnki.net/kcms/detail/51.1356.R.20230112.1551.006.html	
CJFDTEMP	医疗联合体核心医院专科医生对参与家庭医生签约服务认知分析	吴述银;贾贤杰;彭薇;张敏;刘露;方九亿;陈任;	蚌埠医学院卫生管理学院;蚌埠医学院公共卫生学院;蚌埠医学院马克思主义学院;安徽医科大学卫生管理学院;	中国医院管理	核心医院;;专科医生;;医疗联合体;;家庭医生签约服务;;认知分析	"目的 了解医疗联合体核心医院专科医生对参与家庭医生签约服务认知情况。方法 2021年5—7月，以6家三级公立医院专科医生为调查对象。采用χ2检验分析专科医生参与家庭医生签约意愿差异，采用logistic回归分析进行参与意愿影响因素分析。结果 22.95%的调查对象对家庭医生签约服务表示“了解”，91.81%的调查对象表示愿意参与家庭医生签约服务，影响专科医生参与家庭医生签约服务的影响因素分别是月薪（OR=0.281）、家庭医生服务重要性（OR=0.173）、家庭医生服务对社区居民健康状况改善上的作用（OR=0.201），家庭医生签约服务方式排在前3位的分别是专家坐诊（76.33%）、专题讲座（61.74%）和临床查房（42.17%）,89.86%的专科医生建议“建立与核心医院共同开展常见病、多发病、慢性病管理协作机制”。结论 医疗联合体核心医院专科医生对医疗联合体和家庭医生签约服务知晓率有待提高；应发挥专科医生医疗技术优势，推动构建医疗联合体协作机制。"	2023-01-05	吴述银;	"安徽省高校人文社会科学研究项目（SK2019A0182,SK2020ZD31）;; 宿州市科技计划项目（SZSKJJZCO28）;; 蚌埠医学院人文社会科学重点项目（2021byzd239sk）"	2023	43	01	19-24	R197.32		
CJFDTEMP	整体性治理下我国县域医共体信息化建设现状分析	蒋文秀;张冬梅;张芮;李振坤;黄奕祥;	安徽医科大学卫生管理学院;中山大学公共卫生学院;	中国医院管理	县域医共体;;信息化;;整体性治理	近年来，我国各地试点建立县域医共体，推动医疗卫生服务整合和分级诊疗的实施。互联网时代的“智慧医疗”“互联网医院”等医院信息化建设正在改变医疗服务模式和改善患者服务体验。基于整体性治理理论视角，分析我国县域医共体信息化建设现状，揭示“信息红利”浪潮下各地县域医共体信息化建设困境，对网络化治理“碎片化”提出新的发展思路与政策建议。	2023-01-05	蒋文秀;	国家社会科学基金项目（18BGL218）	2023	43	01	57-60	R197.323		
CJFDTEMP	共生理论视角下深圳市妇幼保健机构参与医联体建设实践研究	沈晓;梁香香;闵娟;孙弋涵;	武汉大学政治与公共管理学院;深圳市卫生健康发展研究和数据管理中心;	中国卫生经济	医疗联合体;;妇幼保健机构;;共生理论;;深圳	"目的:根据深圳市妇幼保健机构参与医疗联合体(以下简称医联体)的建设情况,为医联体建设背景下妇幼保健机构的发展提出建议。方法:基于实地调研,运用共生理论分析深圳市妇幼保健机构参与医联体建设的共生关系和实践情况。结果:由于存在分工协作机制不合理、配套政策不完善和资源流动不通畅等问题,导致医联体内部联合不紧密,未形成互惠共生关系。结论:建议组建妇幼健康联合体,通过优化分工协作机制、完善相关配套政策和加强卫生信息平台建设来推进现有医联体向互惠共生模式转变。"	2023-01-05	沈晓;	深圳市卫生健康发展研究和数据管理中心课题项目(250000461)	2023	42	01	25-28	R172		
CJFDTEMP	混合政策工具视角下县域医共体改革效应评估	蔡秋茂;吴文强;王欣;黄奕祥;朱宏;	南方医科大学公共卫生学院;南方医科大学第一临床医学院;福建师范大学公共管理学院;中山大学公共卫生学院;	中国卫生经济	县域医疗共同体;;分级诊疗;;绩效考核;;政策工具	"目的:基于混合政策工具视角评估县域医共体改革措施及实施效果。方法:以广东省阳西县为例,结合定性和定量数据分析其实施医共体改革前后(2017—2019年)的医疗服务能力、医疗资源利用及就医流向等情况。结果:混合政策工具在县域医共体改革中产生了积极效应。权威性和激励性政策工具的行使优化了县域医共体内部资源配置,并在医疗费用控制、双向转诊制度、医疗服务格局优化等方面发挥了一定作用。而能力性政策工具则提升了县域医共体在组织、管理、资源、服务等诸多方面的综合能力,为改革中达成多元目标奠定了基础。同时,多种政策工具同时使用会形成一定的张力和冲突,在地方政府主导的县域医共体改革中,对权威性工具的过度依赖会制约激励性工具的成效。结论:县域医共体改革应使得权威性和激励性政策工具相得益彰,在合理地去行政化前提下,充分发挥医保支付政策中市场激励作用,并发挥学习性政策工具优势,加强政府对县域医共体的监管和绩效考核。"	2023-01-05	蔡秋茂;	国家重点研发计划项目(2020YFC2006400);; 国家社会科学基金项目(18BGL218)	2023	42	01	14-18	R197.1		
