SrcDatabase-来源库	Title-题名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	PubTime-发表时间	FirstDuty-第一责任人	Fund-基金	Year-年	Volume-卷	Period-期	PageCount-页码	CLC-中图分类号	URL-网址	DOI-DOI
CJFD2019	我国医疗卫生机构诊疗人次的分段回归分析	李乐;吴群红;郑统;赵苗苗;	哈尔滨医科大学卫生管理学院社会医学教研室;	中国卫生经济	医药卫生政策;;医疗卫生机构;;诊疗人次;;分段回归分析	"目的:分析我国医改政策对医疗卫生机构诊疗人次的影响,为实现分级诊疗提出政策建议。方法:以关键医改政策颁布时间为节点,构建医院、基层医疗卫生机构以及三级医院诊疗人次的分段回归模型。结果:医院和基层医疗卫生机构月增加的诊疗人次分别为145.795万人和68.652万人;2015年9月在全国推进分级诊疗政策后医院诊疗人次在相同变化率下平均水平降低1 542.461万人;2016年1月在全国层面推行城乡医保整合后医院诊疗人次在相同变化率下平均增加1 354.540万人,基层医疗卫生机构降低165.701万人。结论:我国当前分级诊疗的进展情况不容乐观,分级诊疗的实施未达到预期的政策效果,医保政策未能与分级诊疗的相关政策形成合力,提示应该加大政策执行力度,充分发挥政策合力,实现分级诊疗。"	2019-10-05	李乐;	国家自然科学基金项目（71333003）	2019	38	10	65-68	R197.1		
CJFD2019	福建：走一条整合发展之路	杨闵红;	福建省卫生健康委;福建省深化医改领导小组秘书处;	中国卫生	医疗卫生服务体系;福建省;整合型;县域医共体;医保基金;区域医疗中心;发展之路;	"福建省在积极推动医改的过程中仍然面临一些问题:医疗卫生资源发展不平衡、不充分;医院无序发展、重复建设、偏重创收带来的高成本低效益状况;可提供的服务供给与人民群众全方位全周期的健康需求存在较大差异。在这样的背景下,福建省以""三医联动""为抓手,积极推动构建优质高效的整合型医疗卫生服务体系(PCIC),努力为人民群众提供全方位、全生命周期的健康服务创造"	2019-10-05	杨闵红;		2019		10	70	R197.1		10.15973/j.cnki.cn11-3708/d.2019.10.023
CJFD2019	分级诊疗背景下江苏省居民住院流向及费用负担变化情况分析	雒敏;沈婉兰;陶红滨;张建军;冷明祥;	南京医科大学医政学院;江苏省卫生经济学会;江苏省卫生健康委员会;江苏省医疗保险基金管理中心;	中国卫生经济	居民住院流向;;住院费用;;个人负担;;分级诊疗;;江苏	"目的:了解江苏省居民住院流向和费用负担情况,为落实分级诊疗制度,减轻居民负担提出建议。方法:运用描述统计分析方法分析江苏省各级医疗机构住院人数、住院费用、医保偿付费用、个人范围内外费用支付情况。结果:江苏省居民2013—2017年住院流向变化不大,三级医院住院服务量占比最高;住院费用年均增长1.52%,且费用的增速和医院级别负相关;住院费用构成中,医保的补偿比例基本不变,但个人范围外支付的比例逐年上升。结论:分级诊疗制度实施后医疗费用的增长得到了一定的控制,但仍需通过相关政策引导患者合理就医,进一步降低居民的费用负担。"	2019-10-05	雒敏;	江苏省社科应用研究精品工程重点项目（17SYA-039）;; 南京医科大学哲学社会科学专项基金重点课题项目（2017ZSZ003）;; 江苏省卫生经济学会课题项目	2019	38	10	62-64	R197.1		
CJFD2019	信息		中国卫生	中国卫生	国家区域医疗中心;医疗服务价格;定点医院;三级公立医院;卫生健康;互联网医院;国家荣誉称号;马晓伟;医保支付;县域医共体;医管局;处方药;基本公共卫生服务;电子健康档案;县级医院;基本医保;儿童血液病;医养结合;门诊用药;儿童恶性肿瘤;	"17.06%近年来,我国城乡居民健康素养水平稳步提升,由2012年的8.8%上升到2018年的17.06%。100多家近日,国家卫生健康委医政医管局印发了《关于公布第一批全国儿童血液病定点医院和恶性肿瘤(实体肿瘤)诊疗协作组的通知》。100多家医院成为第一批全国儿童血液病定点医院,同时,成立70多个儿童恶性肿瘤(实体肿瘤)诊疗协作组。"	2019-10-05			2019		10	8-11	R197.1		
CJFD2019	用先进经验推动医改纵深发展	孙梦;	中国卫生	中国卫生	医药卫生体制改革;医院薪酬;医疗联合体;家庭医生签约服务;纵深发展;先进经验;	"2016年11月,中共中央办公厅、国务院办公厅转发了《国务院深化医药卫生体制改革领导小组关于进一步推广深化医药卫生体制改革经验的若干意见》。《意见》指出,要运用典型经验,推动医改向纵深发展:建立强有力的领导体制和医疗、医保、医药""三医联动""工作机制,为深化医改提供组织保障;破除以药补医,建立健全公立医院运行新机制;发挥医保基础性作用,加强对医疗服务的外部制约;推进政事分开、管办分开,建立"	2019-10-05	孙梦;		2019		10	27	R197.1		10.15973/j.cnki.cn11-3708/d.2019.10.006
CJFD2019	互联网医疗产业发展研究	王慧倩;	东华大学;	法制与社会	互联网;;医疗产业;;远程医疗;;移动医疗	"互联网医疗已轰轰烈烈地发展了五年,从发展初始就是大资本的投入,BAT(百度、阿里巴巴、腾讯)无一不高调投资。互联网颠覆了诸多产业,野心勃勃的初创者计划用互联网再次颠覆医疗,但没有成功。医疗牵扯的是公民健康、是民生利益,政府毋庸置疑不会放松监管的枷锁,不会任由市场调控。不到两年,政策收拢,互联网医疗产业迎来寒冬,不少初创公司昙花一现,存活下来的企业靠着雄厚的资本支撑,等待政策导向的柳暗花明。互联网医疗产业仍是大势所趋,政府约谈试点项目、沟通前端企业,最终在2018年出现了政策上的转机。本文从互联网医疗行业发展历程为切入点,通过SWOT分析,得出该行业未来发展的机会。"	2019-10-05	王慧倩;		2019		28	64-66	R-05		10.19387/j.cnki.1009-0592.2019.10.030
CJFD2019	分级诊疗制度在昆明市三级医院推广中存在的问题及改进措施	李欣;陈璟;莫秀梅;	昆明医科大学;	科技与创新	分级诊疗;;三级医院;;基层医疗;;医疗服务	"通过对昆明市6所三级医院的医生进行问卷调查,发现分级诊疗制度在昆明市的推广过程中出现了问题和阻碍。从政府宏观调控、人才引进及人才培养、提升医疗服务质量、提升医生的医疗水平四个方面提出了相应应措施,为分级诊疗在昆明市的推广提供参考。"	2019-10-05	李欣;		2019		19	91-92	R197.1		10.15913/j.cnki.kjycx.2019.19.037
CJFD2019	社区居家养老模式与老年人首诊选择的关系	秦语阳;钱庆文;杨安群;聂慧波;	清华大学医院管理研究院;深圳市大鹏新区妇幼保健院;	中国卫生产业	社区居家养老;;老年人;;首诊选择	"目的探讨社区居家养老模式与老年人首诊选择的关系。方法抽取深圳市某区社区居家养老和家庭养老的老年人,描述其就医习惯,采用χ2检验、Logistic回归分析方法,控制混杂因素,分析养老模式与老年人首诊选择的关系。结果对于常见疾病,两种模式老年人首诊选择差异无统计学意义(P>0.05)。对于非常见疾病,家庭养老的老年人首诊选择去大型综合医院的风险是社区居家养老的老年人选择去大型综合医院的2.098倍。结论社区居家养老模式对分级诊疗的落实具有推动意义,政府应加大对基层卫生服务的投入,借助互联网技术加深养老服务与基层服务的结合。"	2019-10-05	秦语阳;		2019	16	28	180-182	R197.1;D669.6		10.16659/j.cnki.1672-5654.2019.28.180
CJFD2019	我国区域儿科医疗联合体发展现状的分析与思考	王淼;于广军;刘海峰;黄敏;	上海市儿童医院;	中国医院管理	区域医联体;;儿科;;分级诊疗	"近年来,各地纷纷成立了以本地儿童专科医院为核心的儿科医疗联合体。上海市儿童医院作为国内组建较早的区域儿科医联体牵头单位之一,以""两统一、两统筹""为建设原则,以人力下沉组合调配、整合转运转诊体系、打造标准化门急诊品牌、搭建儿科医联体云平台、建设区域儿童健康体系、开展儿科临床能力管理等为主要做法,探索和实践破解儿科医联体发展困境的实现路径。"	2019-10-05	王淼;		2019	39	10	72-74	R197.1		
CJFD2019	三级医院视角下城市分级诊疗阻滞因素与策略探讨	周小金;肖近;姜东林;李成万;王建中;	无锡市第三人民医院;	中国医院管理	三级医院;;分级诊疗;;阻滞因素;;策略	"构建和完善分级诊疗体系、实现患者的有序就医是新医改的一项主要任务,纵观10年的分级诊疗建设,其工作推进和实施效果仍未达到要求。在结合作者自身管理实践的基础上,以三级综合医院的视角,分析了城市分级诊疗的阻滞因素,并从健全下转机制、强化下转主动性、增强医保调节、建设紧密型医联体、提升社区服务能力、缩减中心医院床位、建设转诊平台等方面提出建设意见,旨在为新医改中进一步推进分级诊疗提供部分参考。"	2019-10-05	周小金;	江苏省医院协会医院管理创新研究课题（JSYGY-3-2017-57）;; 无锡市卫生计生委科研面上项目（MS201768）	2019	39	10	24-26	R197.1		
