SrcDatabase-来源库	Title-题名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	PubTime-发表时间	FirstDuty-第一责任人	Fund-基金	Year-年	Volume-卷	Period-期	PageCount-页码	CLC-中图分类号	URL-网址	DOI-DOI
CCND2017	卫计服务优起来 百姓看病不再贵	记者 龙华 通讯员 周文照	湖北日报	湖北日报	就诊率;卫计委;基层医疗卫生机构;分级诊疗;医疗费用;卫生计生;医务人员;危急重症;二孩生育;		2017-02-16	记者 龙华 通讯员 周文照		2017			2	R197.1		
CCND2017	看“三医联动”进度	本报特约撰稿 赵诗敏	医药经济报	医药经济报	三医联动;“营改增”;两票制;医保支付标准;“两票制”;一致性评价;医保目录;分级诊疗;医保支付方式改革;医疗费用增长;		2017-02-06	本报特约撰稿 赵诗敏		2017			4	R197.1		
CCND2017	互联网+分级诊疗能擦出怎样的火花	同济大学经管学院教授 周向红 整理 本报记者 徐秉楠	同济大学经管学院;	健康报	分级诊疗;分级医疗;医联体;		2017-02-04	同济大学经管学院教授 周向红 整理 本报记者 徐秉楠		2017			2	R197.1		
CCND2017	发展社会民生，提升群众获得感	本报记者 杨丽君	陇南日报	陇南日报	民生实事;社会民生;医养结合;委员提案;城乡低保;保障和改善民生;科技成果;分级诊疗;		2017-02-03	本报记者 杨丽君		2017			2	F127		
CCND2017	15位委员走上前台慷慨建言直指瓶颈短板		联合时报	联合时报	知识产权人才;基础零部件;历史文化资源;企业家群体;垃圾分类;制造业;分类减量;公建民营;民营经济发展;上海市;双向转诊;		2017-01-19			2017			4	D628		
CCND2017	分级诊疗的路径与挑战	本报记者 杨光	中国财经报	中国财经报	分级诊疗;基层医院;社区医院;医保体系;公立医院;民营医疗机构;社区医疗机构;民营医院;刘国恩;		2017-01-17	本报记者 杨光		2017			3	R197.1		
CCND2017	打造优势学科须两条腿走路	本报记者 吴刚	健康报	健康报	优势学科;精细化管理;优势学科建设;李为民;分级诊疗;专科化培训;医学学科;研究型医院;陈旻湖;医疗负担;临床技术;湘雅医院;老年患者;		2017-01-10	本报记者 吴刚		2017			3	R197.3		
CCND2016	医改：“互联网+”伴生下的资源重塑与模式再造	中国经济导报记者 荆文娜	中国经济导报;	中国经济导报	多点执业;分级诊疗;模式再造;		2016-12-30	中国经济导报记者 荆文娜		2016			3	R197.1		
CCND2016	“把脉”医疗改革三大转型	本报记者 张兰兰	中国信息化周报	中国信息化周报	医疗信息化;公立医院;分级诊疗;		2016-12-12	本报记者 张兰兰		2016			2	R197.1		
CCND2016	应该把患者从大医院请回来了	健康时报特约评论员 吴帅	健康时报;	健康时报	社区医院;分级诊疗;医保报销;		2016-12-09	健康时报特约评论员 吴帅		2016			1	R197.3		
CCND2016	以医保支付改革扶持社区门诊	本报评论员 祝乃娟	21世纪经济报道	21世纪经济报道	医保支付;社区门诊;医保报销;医共体;医保资金;分级诊疗;报销比例;医保支付方式改革;		2016-12-02	本报评论员 祝乃娟		2016			1	F842.684;R197.1		
CCND2016	瞄准四个“重点” 打赢健康脱贫	记者 王明智	池州日报	池州日报	大病保险;贫困人口;建档立卡;医疗救助;分级诊疗;医疗卫生服务;起付线;乡镇卫生院;基本医保;医药费用;诊疗行为;		2016-12-01	记者 王明智		2016			2	R197.1;F323.8		10.28165/n.cnki.nczra.2016.002041
CCND2016	省人大常委会组成人员对《省人大常委会关于健全我省农村医疗卫生服务体系建设情况尤其是发挥县级医院在分级诊疗中作用情况的视察报告》的审议意见		辽宁日报	辽宁日报	人大常委会;县级医院;医疗卫生服务体系;审议意见;《省人大常委会关于健全我省农村医疗卫生服务体系建设情况尤其是发挥县级医院在分级诊疗中作用情况的视察报告》;分级诊疗;		2016-11-29			2016			1	D624		
