SrcDatabase-来源库	Title-题名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	PubTime-发表时间	FirstDuty-第一责任人	Fund-基金	Year-年	Volume-卷	Period-期	PageCount-页码	CLC-中图分类号	URL-网址	DOI-DOI
CJFD2018	健康中国战略的法制建构——卫生法观念与体制更新	王晨光;苏玉菊;	清华大学法学院;海南医学院马克思主义学院;	中国卫生法制	健康权;;健康中国;;国家战略;;大健康理念;;健康优先;;健康入万策;;分级诊疗;;公立医院;;医疗保险;;综合监管	"健康事关个人、民族和国家的命运;健康中国上升为国家战略乃社会发展和人民对幸福生活追求的必然结果。作为国家战略,它应当有相应的顶层设计,尤其是法律制度设计。基于这一思考,本文探讨了健康中国战略中的几个关键环节的设计,即法律地位——国家战略、核心价值——人民为中心、基本理念——大健康理念、实施策略——健康优先、关键制度——改革深水区中的硬骨头、综合布局——超越医药本位的综合治理体系,并进而针对这些环节提出了相应的法律框架和可实施的路径。健康中国需要各政府部门、各领域和各行业的跨界大协作,因此最关键的是以健康为出发点和归宿的大协作体系建构。健康不仅是医学技术问题,而且是重大社会改革和制度重构的革命。这里不仅需要脚踏实地逐步推进的科学态度,也需要坚定推进改革的勇气和魄力,需要相应法律制度的支撑和保障。"	2018-07-06	王晨光;	海南省哲学社会科学规划课题:“新公共卫生”法律规制模式研究(HNSK〈JD〉15-7)	2018	26	04	1-11	D922.16		10.19752/j.cnki.1004-6607.2018.04.001
CJFD2018	社区卫生服务中心与医院间双向转诊现状研究	李艳;蒋光峰;	青岛大学医学部;青岛大学附属医院;	经济师	社区卫生服务;;双向转折;;影响	"目的是通过分析目前的双向转诊现状,探究影响医生双向转诊的因素并提出合理的意见建议。方法是运用单纯随机抽样的方法,从青岛市社区卫生服务中心抽取临床医生进行问卷调查;采用SPSS 21.0统计软件进行数据录入,进行统计描述分析。结果是双向转诊与基层医疗机构服务能力,诊疗水平,基本药物种类,居民就诊有影响,医务人员的年龄文化程度和对双向转诊必要性的认知都是影响双向转诊的主要因素。结论是目前主要存在社区卫生机构的医生水平不高、卫生环境差和设备落后等障碍,要贯彻双向转诊需要各个部门共同努力,取长补短,优势互补,从制度流程等方向进行系统性全面性的改革,从而保证双向转诊顺利的进行。"	2018-07-05	李艳;		2018		07	249+251	R197.1		
CJFD2018	"医改进行时——竿头日进:我国基层医疗服务能力提升,分级诊疗初显成效"	本刊编辑部;	中国全科医学	中国全科医学	分级诊疗;基层医疗卫生机构;服务能力提升;竿头日进;	"2018-06-12国家卫生健康委员会发布《2017年我国卫生健康事业发展统计公报》,公报数据显示:过去一年我国基层医疗卫生机构和人员数量增加,医疗服务量增加,病人次均门诊费用和人均住院费用上涨,但次均门诊药费和人均住院药费下降。建立分级诊疗制度,实行以全科医生为重点的家庭医生签约服务,是我国医疗卫生服务的发展方向。根据公报数据,我国的基层卫生综合改革已取得阶段性成效,基层首诊、双向转诊的分级诊疗格局已初步形成。"	2018-07-05	本刊编辑部;		2018	21	19	2268	R197.1		
CJFD2018	分级诊疗制度下基层医患互信关系的建构研究	彭迎春;	首都医科大学卫生管理与教育学院;	中国全科医学	分级诊疗;;社区卫生服务;;医生病人关系	"在当前分级诊疗制度大力推进的政策背景下,常见病、多发病的一般诊疗下沉至基层,基层医疗卫生机构将承担起更多的首诊功能。基层医疗卫生机构的服务群体具有相对固定性,医患之间存在连续就诊和重复博弈的可能,如何在重复博弈的环境下建立起良好互信的医患合作关系,对于提升基层医疗卫生机构的服务效率、改善居民就医可及性、增进社会稳定等具有重要意义。本文分析了分级诊疗制度下患者的就医流向,探讨了在基层医患存在重复博弈的前提下基层医患互信关系建立的可行性。进一步的研究可以在对基层医患关系进行深度测评的基础上,分析分级诊疗制度对基层医患关系的作用及影响,借助重复博弈理论探讨医患关系的建构对策。"	2018-07-05	彭迎春;	北京市社会科学基金项目(15JGB074);; 首都卫生管理与政策研究基地开放性课题(2017JD08)	2018	21	19	2277-2280	R197.1		
CJFD2018	北京市医药分开综合改革在某社区卫生服务站实施1年效果分析	张洁;	北京市海淀区苏家坨镇社区卫生服务中心;	中国卫生产业	医药分开;;综合改革;;分级诊疗;;效果分析;;社区卫生服务站	"北京市医药分开综合改革实施1年来,对该中心前沙涧社区卫生服务站的就诊量、药品销售情况、平均方、患者满意度等数据进行分析比较。医药分开综合改革效果明显,门诊量显著增加,分级诊疗效果明显,平均方下降,患者满意度提高。"	2018-07-05	张洁;		2018	15	19	190-191	R197.1		10.16659/j.cnki.1672-5654.2018.19.190
CJFD2018	典型地区医联体模式与成效对比研究	程念;汪早立;	国家卫生计生委卫生发展研究中心;	中国卫生经济	医联体;;县域医共体;;医院集团;;区域人头付费	"目的:分析调研地区不同模式医联体工作的具体做法和成效。方法:对医联体工作典型地区进行现场调研和数据分析。结果:典型地区参保人群住院补偿人次稳定增长,并且有从县外向县内流动的趋势,参保人群住院费用水平增速减缓。结论:应加强对医联体的监管,确保基层医疗卫生机构的独立法人地位不变,提高医联体内人员待遇,切实推动工作的开展。"	2018-07-05	程念;		2018	37	07	12-15	R197.1		
CJFD2018	公共卫生资源配置与社会信任:兼论分级诊疗的基础	徐巧玲;	华中科技大学经济学院;太原工业学院;	中国卫生经济	公共卫生资源;;卫生资源配置;;社会信任;;分级诊疗	"目的:探明公共卫生资源配置对社会信任的影响,以期通过信任合作更好的实现分级诊疗。方法:根据《中国城市统计年鉴2013》宏观数据及CGSS微观调查数据,利用OLS及Odered probit模型进行实证研究。结果:发现公共卫生资源配置充足度以及均衡度在宏观层面均对社会信任水平产生正向影响,城乡卫生资源配置差异对农村居民产生显著正向影响,城乡卫生资源分配越均衡,农村居民社会信任水平越高,而对全样本和城市军民样本作用不显著,结论:分级诊疗制度的成功实施,既有赖于居民对基层医疗服务体系的信任,也有赖于国家对基层公共卫生服务体系的投资。"	2018-07-05	徐巧玲;		2018	37	07	45-50	R197.1		
CJFD2018	基于分级诊疗的广西卫生人力资源配置分析	周晔玲;蓝相洁;司明舒;劳厚枝;李士雪;	山东大学公共卫生学院;广西财经学院;广西壮族自治区南宁市卫生和计划生育委员会;	中国卫生经济	分级诊疗;;卫生人力资源;;卫生资源配置;;广西	"目的:从推进实施分级诊疗的视角,对比分析广西的医院和基层医疗卫生机构卫生人力资源配置状况与存在问题,并有针对性地提出政策建议。方法:对广西相关年份的医院及基层医疗卫生机构的卫生人力资源配置状况进行分析和讨论。结果:广西医院及基层医疗卫生机构卫生人力资源均呈增长趋势,但医院与基层医疗机构之间在人员数量、学历及职称构成等人员质量方面仍有较大差距,优势资源仍有向医院汇集的态势。结论:广西的卫生人力资源配置与分级诊疗的需要仍不相适应,建议政府加大基层卫生人力供给、改革基层医务人员薪酬制度、加快推进医联体改革,引导卫生人力资源向基层流动。"	2018-07-05	周晔玲;	广西哲学社会科学规划项目(17BJY001)	2018	37	07	51-53	R197.1		
CJFD2018	医疗联合体财务管理和会计核算研究现状、评价与展望	郑大喜;潘晓波;田志伟;董登姣;罗毅;梅路瑶;王茜;闫亮;黄玫;宋源;蒋莹莹;江恋;	华中科技大学同济医学院附属同济医院财务处;中南财经政法大学会计学院;中南财经政法大学政府会计研究所;	中国卫生经济	医疗联合体;;医疗卫生机构;;财务管理;;会计核算;;综述	"目的:梳理医疗联合体财务管理和会计核算研究现状,分析需要深入研究的方向。方法:以文献研究与政策分析方法,分析国内外研究现状,分析现行政策的局限性。结果:少量文献对医疗联合体涉及的财务集中管理和部分会计核算业务进行了简要介绍,研究内容丰富但不够深入、完整,行业制度没有对医疗联合体财务管理和会计核算标准和依据进行统一规范,实务处于自行探索和失范状态。结论:结合政府会计改革和现有政策,开展相关研究,参考部分省市典型经验和有益做法,推进医疗联合体财务管理和会计核算行业标准制定。"	2018-07-05	郑大喜;	中国卫生经济学会第十九批招标课题资助项目(CHEA1819040301)	2018	37	07	75-79	F810.6;R197		
ZHYX2018	分级诊疗中家庭医生对三级医院合作需求调查	陈晓怡;朱华;夏俊;俞卓伟;郑松柏;	复旦大学附属华东医院双向转诊办公室;	中华医院管理杂志	"医师,家庭;;分级诊疗;;三级医院;;合作;;需求"	"目的了解分级诊疗制度下,家庭医生对三级医院合作需求情况。方法 2017年7月,通过整群抽样135名上海市长宁区家庭医生进行需求问卷调查。问卷内容包括家庭医生的人口学特征及其需求。对数据进行描述性和逻辑性分析。结果家庭医生需要三级医院对转诊患者能优先预约专家门诊者占99. 3%,优先预约检查者占93. 3%,优先就诊者占82. 2%,优先住院和手术者占83. 7%;对于优先预约专家门诊的方式,84. 4%的家庭医生选择短期内加号,73. 3%的家庭医生需要直接网络预约三级医院大型检查;对于带教方式,62. 2%的家庭医生选择专家固定下社区门诊查房时进行带教。结论三级医院应畅通转诊绿色通道和优先措施,提高社区家庭医生能力,完善分级诊疗网络共享平台,并指导家庭医生撰写科研论文,全面促进分级诊疗制度的实施。"	2018-07-02	陈晓怡;	2017年度复旦大学医院管理建设项目(FDYGC20170701)~~	2018	34	07	536-539	R197.1		
