SrcDatabase-来源库	Title-题名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	PubTime-发表时间	FirstDuty-第一责任人	Fund-基金	Year-年	Volume-卷	Period-期	PageCount-页码	CLC-中图分类号	URL-网址	DOI-DOI
CJFD2014	医院分级诊疗的现状及对策	黄德圣;潘小妹;	湖北省地质职工医院;	基层医学论坛	分级诊疗;社区医生;基层医疗机构;医疗资源配置;全科医生;双向转诊制度;分级诊疗体系;医疗联合体;基层首诊;现状及对策;	"早在2006年,卫生部就提出要在全国范围内推广""分级诊疗""及""双向转诊制度"",鼓励基层医院实行""首诊制"",实现""小病不出社区,大病及时转诊,康复回社区""的目标,并在医保结算方面给予一定的支持。2013年,全国居民约55%的健康问题在基层医疗卫生机构得到解决,虽然和过去比有了不小的进步,但离世界卫生组织制定的""80%以上的健康问题可以在基层得到解决""的目标,还相差甚远。截至2013年底,除了北京、"	2014-12-01	黄德圣;		2014	18	34	4727-4729	R197.3		
CJFD2014	八举措提升服务群众实效	李爱平;李忠良;	四川省巴中市恩阳区卫生计生局;	人口与计划生育	卫生计生;分级诊疗;恩阳区;提升服务;四川省巴中市;签约服务;乡镇卫生院;	"2014年,四川省巴中市恩阳区卫计局结合全区卫生计生系统实际,落实八举措,提升服务群众实效。全力推进项目建设,构建一体化服务网络。积极争取上级党委和政府以及相关部门重视支持,高标准、高起点构建区、乡镇、村三级医疗卫生计生服务体系。区人民医院、区妇幼保健院、区疾控中心、区民营综合医院等重点项目要前推,不等不靠,既要突出进度速度,又要突出质量和效益。加强人才队伍建设,不断提升服务能力。采取多种形式加"	2014-11-08	李爱平;		2014		11	51	C924.21;D252		
CJFD2014	医疗体系新闻	丁珠林;梁亮亮;	中国卫生	中国卫生	医疗体系;浙江省;医疗救援;分级诊疗;	"浙江:分级诊疗将在24县展开分级诊疗作为浙江省公立医院改革""三部曲""之一,是贯穿整个医改过程的一条主线。近日,浙江省将在今年10月底前,在其24个县表示分批开展分级诊疗试点,通过报销比例的价格杠杆引导患者分流就诊,提高医疗资源配置效率。"	2014-11-05	丁珠林;		2014		11	11	R197.1		
CJFD2014	分级诊疗 院长怎么看	刘也良;刘虹;	中国卫生	中国卫生	分级诊疗;医院院长;中国医院协会;医联体;医疗服务体系;	"分级诊疗是今年公立医院改革的重点,医院院长对此看法非常重要,在由中国医院协会主办的2014公立医院改革研讨会上,来自全国各地的30多名医院院长就分级诊疗进行了探讨。大医院院长""怕""病人多上海复旦大学附属中山医院院长樊嘉:分级诊疗实质是整合资源,改变目前的无序状态。对医院来说,就是要各就其位,各司其职,不同级别医疗机构"	2014-11-05	刘也良;		2014		11	22-25	R197.1		
CJFD2014	分级诊疗 启试点建制度	王朝君;	中国卫生	中国卫生	分级诊疗;青海省;分级诊疗制度;定点医疗机构;基层医疗卫生机构;医保报销;医保基金;	"在今年10月国家卫生计生委例行新闻发布会上,该委新闻发言人、宣传司副司长宋树立透露,我国将适时在公立医院改革试点城市启动分级诊疗试点,逐步建立符合我国国情的分级诊疗制度。各地探索因地制宜医改启动以来,江苏、浙江、四川、青海等省分别以省政府名义或多部门联合发文印发了关于分级诊疗工作的专门文件,从资源配置、制度建设、保障措施、"	2014-11-05	王朝君;		2014		11	26-27	R197.1		
CJFD2014	韩晓芳:明确目标 减少政策“撞车”		中国卫生	中国卫生	多点执业;医保基金;分级诊疗;医药卫生体制改革;医保政策;慢性病管理;	"北京市《关于继续深化医药卫生体制改革的若干意见》被业内外热议。记者专访了北京市发展改革委委员、市医改办主任韩晓芳。韩晓芳说,医改各专项改革环环相扣,相互影响,相互制约,若不解决整体的问题,仍按过去的改革路子往下走,已经有点走不动了,问题就在于大家都着眼于专项改革,着眼于某一项政策,可"	2014-11-05			2014		11	30-31	R197.1		
CJFD2014	五大问题拖改革后腿	俞欣;	中国卫生	中国卫生	公立医院综合改革;浙江省;基层医疗卫生机构;双向转诊;五大问题;	"近日,浙江省公立医院综合改革领导小组对县级公立医院综合改革情况进行了评估。评估显示,经过近3年努力,浙江省县级公立医院综合改革取得一定成效,基本实现预期目标,同时,一些深层次的矛盾和问题也逐渐显现出来。这些矛盾和问题"	2014-11-05	俞欣;		2014		11	97	R197.1		
CJFD2014	浙江启动基层首诊分级转诊试点	张乐;	中国医疗保险	中国医疗保险	基层首诊;分级诊疗;基层医疗机构;	"10月21日,浙江省启动全省分级诊疗试点。为确保分级诊疗措施实施,鼓励更多的人到基层医疗机构就诊,医保部门制定了差别化的支付制度,未经转诊患者自行支付的费用将比转诊病人高出10-20个百分点。为提升公众对当地基层医疗机构的信心,采取大医院与县级医疗机构结对帮扶、城"	2014-11-05	张乐;		2014		11	71	R197.1		
CJFD2014	西宁1.7万人受益于大病保险制度		中国医疗保险	中国医疗保险	大病保险制度;全科医生团队;深化医改;家庭医生签约服务;电子健康档案;重特大疾病;分级诊疗;	"10月15日,西宁市召开深化医改情况通报会,据了解西宁现已形成了城乡居民重特大疾病常规报销、大病保险、民政医疗救助和疾病应急救助""四道保障线""。共办大病保险患者1.7万名,患高血压、糖尿病、重性精神病的患者规范化管理率均达到100%;为222余万城乡居民建立了电子健康档案,建档率高达98%;在全省率先推行紧密型城乡卫生服务一体化管理和家庭医生签约服务工作,推广全科医生团队服"	2014-11-05			2014		11	72	R197.1		
CJFD2014	基于模块化托管方式的智慧医联体建设	路丽;李章平;江松福;李上共;陈成水;陈肖鸣;	温州医科大学附属第一医院;	中国医院管理	医院托管;;模块化;;医疗联合体	"1模块化托管方式提出的背景医院托管是公立医院管理体制改革的一种有效途径与方式,可以实现医院所有权与经营全的有效分离,促进优质医疗资源下沉,提升基层医疗机构服务能力和技术水平[1]。托管是指医院所有者(委托方)以契约形式将医院法人的财产交由具有较强经营管理能力并能够承担相应经营风险的法人(受托方)有偿经营的行为,双方不以产权关系为条件,是非常彻底的所有权与经营权分离的形式[2]。不同县级医院的"	2014-11-05	路丽;		2014	34	11	6-7	R197.32		
