SrcDatabase-来源库	Title-题名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	PubTime-发表时间	FirstDuty-第一责任人	Fund-基金	Year-年	Volume-卷	Period-期	PageCount-页码	CLC-中图分类号	URL-网址	DOI-DOI
CJFD2018	构建分级诊疗体系的政策工具选择——基于省级政府政策文本的量化分析	李阳;段光锋;田文华;张嵬;龙俊睿;孙自学;	第二军医大学卫生勤务学系;复旦大学社会发展与公共政策学院;	中国卫生政策研究	分级诊疗;;政策工具;;政策文本;;量化分析	"目的:比较分析国内各省市在分级诊疗制度建设中政策工具的选择和应用情况,为提高分级诊疗政策执行的有效性提供建议。方法:通过互联网检索各省级政府关于分级诊疗的政策文件,以Rothwell&Zegveld政策工具划分为基础,综合政策文本的归纳和专家意见,归并整理政策工具名称和类别,计算各种政策工具使用的频数,分析政策工具的使用情况。结果:收集了30个省级政府的分级诊疗政策文件,归纳整理出供给型、需求型和环境型3个类别15种政策工具。供给型政策工具占32.92%,需求型政策工具占20.58%,环境型政策工具占46.50%。应用最多的政策工具是法规管制,应用最少的政策工具是病种目录。结论:在政策工具选择上以环境类政策工具应用最多,需求类政策工具应用最少,且以强制性政策工具占主导;东部地区三类政策工具的使用较为均衡,中部地区需求类政策工具使用相对较少,西部地区主要以环境类政策工具为主,而需求类政策工具匮乏。在分级诊疗政策执行过程中应重视政策工具的研究,以适宜的政策工具促使政策目标的达成。"	2018-01-25	李阳;	国家自然科学基金项目(71603270;71373279)	2018	11	01	48-52	R197.1		
CJFD2018	分级诊疗实施后对医务人员的影响及其认知状况调查	王玲;赵琨;赵锐;刘爱忠;	中南大学湘雅公共卫生学院;国家卫生计生委卫生发展研究中心;	中国卫生政策研究	分级诊疗;;医务人员;;认知状况;;影响因素;;试点	"目的:了解分级诊疗制度实施后对试点地区各级医疗机构医务人员的影响,以及医务人员对分级诊疗的认知状况和影响因素。方法:采用多阶段随机抽样方法,对15个试点地区各级医疗机构的435名医务人员进行问卷调查。结果:制度实施后,不同级别医疗机构医务人员在月总收入、绩效工资占比、工作负担和医患关系方面存在差异;各级医疗机构医务人员对分级诊疗的总体认知率达81.4%,其中三级医院依次高于乡镇卫生院、社区卫生服务中心和二级医院;不同科室类别、职称级别、绩效工资占比和薪酬变化的医务人员对分级诊疗认知状况有差异。结论:要进一步发挥医务人员对分级诊疗的关键作用,提升基层服务能力的同时,加大对二级医院的关注,改革薪酬制度,调动医疗机构和医务人员的积极性,促进分级诊疗制度更好地发展。"	2018-01-25	王玲;	国家卫生计生委2016年委托课题	2018	11	01	53-57	R197.1		
CJFD2018	分级诊疗体系下县乡基层医疗卫生服务体系的构建——以赣州市为例	梁建明;王静雅;	赣南医学院人文学院;江西省卫生软科学研究基地;赣南医学院第一临床医学院;赣南医学院农村(社区)医学教育研究中心;	老区建设	分级诊疗;;卫生服务体系;;基层卫生	"分级诊疗制度建设是新的历史时代背景下结合我国特色的一项合理配置医疗资源、促进基本医疗卫生服务均等化的重要举措。如何让分级诊疗的理论与现实医疗环境相适应,针对此问题,在分析探讨分级医疗体系下县乡基层医疗卫生服务体系构建。在赣州市各县区的范围内,使分级医诊体系下县乡基层医疗卫生服务体系建设更加优化。"	2018-01-25	梁建明;	赣州市社科联2017年立项课题“分级诊疗背景下赣州市县乡卫生服务体系构建的实证研究”(17383)	2018		02	44-46	R197.1		
CJFD2018	区域远程影像中心的构建与应用研究	蒋中灿;王培军;李正仁;靳笑颜;何江;	遵义市播州区人民医院医学影像科;伦琴(上海)医疗科技有限公司;遵义市播州区人民医院信息科;	中国医学装备	远程影像中心;;远程医疗;;区域影像平台;;信息管理;;分级诊疗	"目的:构建区域远程影像中心,形成医疗卫生机构分工协作机制,完善分级诊疗体系。方法:建立区域网络架构,集中影像资源,将以乡镇医院为主的21家基层医疗机构放射影像资料集中到远程影像中心,依托区人民医院影像科专家医师统一诊断,保证诊断质量,指导基层医院治疗。结果:通过前期充分准备、科学规划设计、分步实施,完善了检查申请、乡镇医院检查、图像存储与传输、区人民医院出具诊断报告和乡镇医院打印报告等各个环节,基本完成区域影像中心建设。结论:远程影像中心的建立,降低了区域内新农合医疗开支、提高了区域内医疗健康服务效率和水平,为解决""看病贵、看病难""提供了技术支撑。"	2018-01-23 14:02	蒋中灿;	科技部国家重点研发计划数字诊疗装备研发重点专项(2017YFC0112800)“第三方医学影像中心新型服务模式解决方案”	2018	15	01	106-109	R-05	https://kns.cnki.net/kcms/detail/11.5211.TH.20180123.1402.060.html	
CJFD2018	我们需要建什么样的医联体	金春林;	上海市卫生和健康发展研究中心(上海市医学科学技术情报研究所);	中国卫生资源	医联体;;双向转诊;;政策建议	"医联体建设是我国深化医疗卫生体制改革的重要举措,对促进资源共享、医生上下流动、患者双向转诊,构建有序就诊秩序具有重要作用。文章总结上海市建设医联体实践过程中存在的问题,提出从构建整合型医疗卫生服务体系、转变医患关系、建立利益共同体的正向激励和分配机制,以及建立信息整合和共享平台四个方面着手解决问题,并提出配套的支持政策,以期为我国其他地区建设医联体提供经验。"	2018-01-23 06:25	金春林;		2018	21	01	1-2	R197.1	https://kns.cnki.net/kcms/detail/31.1751.R.20180123.0624.001.html	10.13688/j.cnki.chr.2018.17991
CJFD2018	聚力同行 开启卫生事业新征程 砥砺奋进 谱写健康海曙新篇章 海曙区医疗卫生事业融合发展纪实		宁波通讯	宁波通讯	医疗卫生事业;新征程;海曙区;综合性公立医院;基层医疗机构;家庭医生签约服务;石碶街道;医疗服务理念;双向转诊;社区卫生服务中心;分级诊疗体系;	"2017年12月26日,海曙区第二医院(宁波市第一医院海曙分院)投入使用,标志着海曙区首家区级综合性公立医院正式面向百姓提供服务。在宁波市第一医院的全面托管下,海曙区第二医院将充分发挥区域分级诊疗体系内的枢纽作用,促进区域内医疗卫生事业融合,是海曙区卫生计生事业的又一大跨越。搭桥接榫城乡医疗融合更深广区首家综合性公立医院-海曙区第二医院"	2018-01-23			2018		02	80-81	R-2		
CJFN2018	安徽省人民政府办公厅关于推进医疗联合体建设和发展的实施意见		安徽省人民政府办公厅;	安徽省人民政府公报	医联体;总额付费;预约诊疗;医疗联合体;医保办;人民政府;分级诊疗制度;基层医疗卫生机构;专科技术;签约服务;医疗服务;三级医院;医保支付方式改革;双向转诊;社会办医疗机构;安徽省;	"皖政办[2017]95号各市、县人民政府,省政府各部门、各直属机构:为贯彻落实《国务院办公厅关于推进医疗联合体建设和发展的指导意见》(国办发[2017]32号)、《安徽省人民政府关于印发安徽省深化医药卫生体制综合改革试点方案的通知》(皖政[2015]16号)等文件精神,调整优化医疗资源结构布局,促进医疗卫生工作重心下移和资源下沉,提升基层服务能力,更好实施分级诊疗和满足群众健康需求,经省政府同意,现就推进医疗联合体(简称""医"	2018-01-23			2018		02	9-16	R197.1		
CJFD2018	辽宁省全科医生制度建设研究	鲁捷;陶思雯;	沈阳师范大学管理学院;	临床医药文献电子杂志	分级诊疗;;全科医生;;社区卫生服务	"分级诊疗的到来使得现阶段我国基层医疗服务体系的建设开始走向一个新的高度,而全科医生作为推动分级诊疗实施的中坚力量就显得尤为重要,辽宁省与我国其他省相比在全科医生制度建设方面还存在很多不足。"	2018-01-22	鲁捷;		2018	5	07	171	R197.1		10.16281/j.cnki.jocml.2018.07.142
CJFD2018	一体化临床路径管理模式对脑卒中及慢性阻塞性肺病患者随访及双向转诊的影响	庞会;刘忠和;张艳芳;	重庆市黔江中心医院;	重庆医学	临床路径;;随访研究;;双向转诊;;一体化	"目的探索一体化临床路径管理模式对脑卒中及慢性阻塞性肺病(COPD)患者随访及双向转诊的影响。方法收集该院2013年1月至2015年10月脑卒中和COPD两大类疾病822例患者随访及双向转诊资料。以2014年6月实施双向转诊为时间点,分为观察组及对照组,分析一体化医疗路径管理模式对两组随访率及双向转诊率的影响。结果实施一体化医疗路径管理模式后,观察组脑卒中患者随访率为94.6%,总转诊率62.0%,高于对照组,差异有统计学意义(P<0.01)。观察组COPD患者随访率为91.6%,总转诊率65.0%,高于对照组,差异有统计学意义(P<0.01)。结论实施一体化临床路径管理模式,可提高患者的随访率和医疗机构间的双向转诊率。"	2018-01-20	庞会;		2018	47	02	253-254	R563.9;R743.3		
CJFD2018	县级公立医院供给侧结构性改革研究——以成都市为例	黄国武;仇雨临;	四川大学公共管理学院;中国人民大学劳动人事学院;	社会保障研究	县级公立医院;;药占比;;分级诊疗;;医联体	"县级公立医院改革是新医改的重点和难点,但长期以来一直滞后于医改的整体进程。通过对成都市县级公立医院改革进行问卷调查和访谈,本文发现成都市在推动医院回归公益性、降低药占比、促进优质医疗资源下沉、改善医疗环境、调动医务人员积极性、提高患者满意度、缓解医患矛盾等方面有较大改善。但是,改革过程中也存在医院法人治理形式大于实质、取消药品加成并没有完全解决药价虚高并同时伴随廉价基药难买的问题。因此,在进一步改革中,本文建议:应促进社会资本与医生技术结合,调动医生积极性,让医生回归医疗本质;应强制推动优质医疗资源梯度建设、接力、持续下沉;应优化医患关系,营造互信医患环境,重树理性的就医理念与习惯,促进医疗服务从消费品向信任品转换。"	2018-01-20	黄国武;	国家社会科学基金重大项目“城乡基本公共服务均等化的实现机制与监测体系研究”(14ZDA030)成果	2018		01	50-57	R197.1		
